layer,replicate,n_train,n_oob,update_mse,update_r2
6,19,14353,5306,0.026727423071861267,0.709489643573761
7,19,14353,5306,0.03355308994650841,0.7688124775886536
8,19,14353,5306,0.04369903728365898,0.7625388503074646
9,19,14353,5306,0.04723687469959259,0.8040714263916016
10,19,14353,5306,0.06034637615084648,0.6921542286872864
11,19,14353,5306,0.13348077237606049,0.7013213038444519
0,20,14353,5260,0.011546208523213863,0.8177285194396973
1,20,14353,5260,0.016657469794154167,0.5269994139671326
2,20,14353,5260,0.025303184986114502,0.5908015370368958
3,20,14353,5260,0.040898483246564865,0.5855964422225952
4,20,14353,5260,0.023184508085250854,0.6312322616577148
5,20,14353,5260,0.024457350373268127,0.6524807810783386
6,20,14353,5260,0.026498133316636086,0.7107720375061035
7,20,14353,5260,0.03319818526506424,0.7679821848869324
8,20,14353,5260,0.04369822144508362,0.7596825957298279
9,20,14353,5260,0.04724304378032684,0.801605224609375
10,20,14353,5260,0.06024536117911339,0.6906051635742188
11,20,14353,5260,0.1351313441991806,0.7009078860282898
0,21,14353,5256,0.011043165810406208,0.8245337605476379
1,21,14353,5256,0.01616593264043331,0.5396888852119446
2,21,14353,5256,0.025047600269317627,0.5957831740379333
3,21,14353,5256,0.04050755500793457,0.5890991687774658
4,21,14353,5256,0.023016447201371193,0.6343228220939636
5,21,14353,5256,0.024151133373379707,0.6562871336936951
6,21,14353,5256,0.0260603129863739,0.7146151661872864
7,21,14353,5256,0.03300241008400917,0.7712299227714539
8,21,14353,5256,0.042602237313985825,0.7655847668647766
9,21,14353,5256,0.04646846652030945,0.8039775490760803
10,21,14353,5256,0.05929064750671387,0.6941447257995605
11,21,14353,5256,0.1337854266166687,0.7030252814292908
0,22,14353,5298,0.011529962532222271,0.818825900554657
1,22,14353,5298,0.016705941408872604,0.5264121890068054
2,22,14353,5298,0.02521844394505024,0.5916076898574829
3,22,14353,5298,0.040833983570337296,0.5864217877388
4,22,14353,5298,0.023167556151747704,0.6314067244529724
5,22,14353,5298,0.02444063127040863,0.6552166938781738
6,22,14353,5298,0.026422761380672455,0.7133542895317078
7,22,14353,5298,0.03324491158127785,0.7699938416481018
8,22,14353,5298,0.043554600328207016,0.7598090171813965
9,22,14353,5298,0.04722278192639351,0.8038408160209656
10,22,14353,5298,0.06061961129307747,0.693063497543335
11,22,14353,5298,0.13879789412021637,0.7021987438201904
0,23,14353,5274,0.011828307993710041,0.8140416145324707
1,23,14353,5274,0.016930410638451576,0.5188189744949341
2,23,14353,5274,0.025610366836190224,0.5863221287727356
3,23,14353,5274,0.04110543802380562,0.5849078297615051
4,23,14353,5274,0.023314401507377625,0.6284566521644592
5,23,14353,5274,0.024447834119200706,0.6532506346702576
6,23,14353,5274,0.02650192566215992,0.7106702327728271
7,23,14353,5274,0.033269137144088745,0.7678647041320801
8,23,14353,5274,0.043241340667009354,0.7613530158996582
9,23,14353,5274,0.04679568484425545,0.8036049008369446
10,23,14353,5274,0.05974705144762993,0.6941518187522888
11,23,14353,5274,0.1350032538175583,0.7020795345306396
0,24,14353,5293,0.011529234237968922,0.8187353610992432
1,24,14353,5293,0.016676606610417366,0.5268704891204834
2,24,14353,5293,0.025467611849308014,0.5894800424575806
3,24,14353,5293,0.04108075052499771,0.5867869853973389
4,24,14353,5293,0.023375295102596283,0.6293732523918152
5,24,14353,5293,0.024520093575119972,0.6530399918556213
6,24,14353,5293,0.02649402804672718,0.711232602596283
7,24,14353,5293,0.033430133014917374,0.7676753401756287
8,24,14353,5293,0.04379097744822502,0.762141764163971
9,24,14353,5293,0.047254528850317,0.8028929829597473
10,24,14353,5293,0.060518234968185425,0.6918841004371643
11,24,14353,5293,0.13746698200702667,0.704765260219574
0,25,14353,5345,0.011569713242352009,0.8160588145256042
1,25,14353,5345,0.0166167002171278,0.5297641158103943
2,25,14353,5345,0.02530861087143421,0.5929912328720093
3,25,14353,5345,0.04067089036107063,0.5895960927009583
4,25,14353,5345,0.02306806482374668,0.6330722570419312
5,25,14353,5345,0.02423165738582611,0.6560118794441223
6,25,14353,5345,0.026192709803581238,0.7137848734855652
7,25,14353,5345,0.03295097500085831,0.770397961139679
8,25,14353,5345,0.0430552177131176,0.7649800181388855
9,25,14353,5345,0.04644012451171875,0.8039131760597229
10,25,14353,5345,0.0596635527908802,0.6941449642181396
11,25,14353,5345,0.1407720297574997,0.705468475818634
0,26,14353,5310,0.01175137609243393,0.8138749599456787
1,26,14353,5310,0.01687488704919815,0.5221214890480042
2,26,14353,5310,0.02570720575749874,0.587005078792572
3,26,14353,5310,0.04088049381971359,0.5886301398277283
4,26,14353,5310,0.02331710420548916,0.6296581625938416
5,26,14353,5310,0.02443181909620762,0.6548121571540833
6,26,14353,5310,0.026482723653316498,0.7145029902458191
7,26,14353,5310,0.03327405825257301,0.7694461941719055
8,26,14353,5310,0.0435696505010128,0.7634084820747375
9,26,14353,5310,0.04674537107348442,0.8047654032707214
10,26,14353,5310,0.060084644705057144,0.6939464211463928
11,26,14353,5310,0.13604415953159332,0.6941142678260803
0,27,14353,5288,0.011518062092363834,0.8194425702095032
1,27,14353,5288,0.01662895269691944,0.5257189869880676
2,27,14353,5288,0.025174595415592194,0.5905042290687561
3,27,14353,5288,0.040788549929857254,0.5845630764961243
4,27,14353,5288,0.023194769397377968,0.6306905746459961
5,27,14353,5288,0.0244461540132761,0.6542596817016602
6,27,14353,5288,0.026399215683341026,0.7123438715934753
7,27,14353,5288,0.03316006064414978,0.7691764831542969
8,27,14353,5288,0.0433608777821064,0.7617883086204529
9,27,14353,5288,0.0467723123729229,0.803272545337677
10,27,14353,5288,0.059860825538635254,0.6916419863700867
11,27,14353,5288,0.135013148188591,0.7006719708442688
0,28,14353,5298,0.011632598005235195,0.8154998421669006
1,28,14353,5298,0.01671452261507511,0.5221176743507385
2,28,14353,5298,0.025326430797576904,0.5880138874053955
3,28,14353,5298,0.04093039780855179,0.5852264761924744
4,28,14353,5298,0.02325724996626377,0.6301800608634949
5,28,14353,5298,0.02458934672176838,0.6526916027069092
6,28,14353,5298,0.026503272354602814,0.7099660038948059
7,28,14353,5298,0.033210936933755875,0.7672512531280518
8,28,14353,5298,0.04336588457226753,0.7609732151031494
9,28,14353,5298,0.04705050587654114,0.8021575808525085
10,28,14353,5298,0.06016261503100395,0.6920733451843262
11,28,14353,5298,0.13875435292720795,0.7100645899772644
0,29,14353,5281,0.011642701923847198,0.8160250782966614
1,29,14353,5281,0.016835758462548256,0.5237776041030884
2,29,14353,5281,0.02561458759009838,0.5878036618232727
3,29,14353,5281,0.04093288257718086,0.5877783298492432
4,29,14353,5281,0.023352764546871185,0.6296387314796448
5,29,14353,5281,0.02441568858921528,0.6562367081642151
6,29,14353,5281,0.026367301121354103,0.7128580212593079
7,29,14353,5281,0.033162590116262436,0.768547534942627
8,29,14353,5281,0.04348962381482124,0.7618705630302429
9,29,14353,5281,0.046772073954343796,0.8035745024681091
10,29,14353,5281,0.05989403650164604,0.6949480175971985
11,29,14353,5281,0.13618215918540955,0.7076642513275146
0,30,14353,5287,0.011372293345630169,0.8195457458496094
1,30,14353,5287,0.016478782519698143,0.5289211869239807
2,30,14353,5287,0.025295734405517578,0.5909039378166199
