layer,replicate,n_train,n_oob,update_mse,update_r2
6,15,14353,5264,0.031629424542188644,0.6281487345695496
7,15,14353,5264,0.039773933589458466,0.6806768774986267
8,15,14353,5264,0.046859417110681534,0.6738950610160828
9,15,14353,5264,0.06004201993346214,0.6755802035331726
10,15,14353,5264,0.08068964630365372,0.5834242105484009
11,15,14353,5264,0.43092048168182373,0.5588135123252869
0,16,14353,5261,0.01756317727267742,0.7692239880561829
1,16,14353,5261,0.02243657410144806,0.3415466547012329
2,16,14353,5261,0.03594179078936577,0.44037237763404846
3,16,14353,5261,0.06297633796930313,0.5198886394500732
4,16,14353,5261,0.031881511211395264,0.5171058177947998
5,16,14353,5261,0.03048115037381649,0.5877088904380798
6,16,14353,5261,0.03173839673399925,0.625246524810791
7,16,14353,5261,0.03965654969215393,0.6779057383537292
8,16,14353,5261,0.04713819921016693,0.6716852188110352
9,16,14353,5261,0.06060601770877838,0.6716351509094238
10,16,14353,5261,0.08160538971424103,0.5790867209434509
11,16,14353,5261,0.4315333068370819,0.5645248889923096
0,17,14353,5286,0.01727895997464657,0.7702280879020691
1,17,14353,5286,0.022187476977705956,0.3550119400024414
2,17,14353,5286,0.03558649495244026,0.4532190263271332
3,17,14353,5286,0.06286638230085373,0.535437285900116
4,17,14353,5286,0.031666405498981476,0.5212911367416382
5,17,14353,5286,0.03042721003293991,0.5895523428916931
6,17,14353,5286,0.03158017620444298,0.6319214701652527
7,17,14353,5286,0.039483442902565,0.6801419258117676
8,17,14353,5286,0.046763431280851364,0.6765044331550598
9,17,14353,5286,0.060127001255750656,0.6762245297431946
10,17,14353,5286,0.08092346042394638,0.5831395983695984
11,17,14353,5286,0.40408992767333984,0.561103105545044
0,18,14353,5264,0.01733204536139965,0.7686169743537903
1,18,14353,5264,0.022654935717582703,0.34786033630371094
2,18,14353,5264,0.03620145842432976,0.4475407898426056
3,18,14353,5264,0.06390087306499481,0.5261046290397644
4,18,14353,5264,0.03200361132621765,0.5197290182113647
5,18,14353,5264,0.030717015266418457,0.5868777632713318
6,18,14353,5264,0.031958501785993576,0.6267662048339844
7,18,14353,5264,0.03954162821173668,0.6816406846046448
8,18,14353,5264,0.046994131058454514,0.6743359565734863
9,18,14353,5264,0.06002850458025932,0.6751847863197327
10,18,14353,5264,0.08067014813423157,0.5815280079841614
11,18,14353,5264,0.42152324318885803,0.5637971758842468
0,19,14353,5306,0.01708248071372509,0.7711283564567566
1,19,14353,5306,0.022227438166737556,0.35402798652648926
2,19,14353,5306,0.03555011749267578,0.4485304653644562
3,19,14353,5306,0.06261524558067322,0.5272607803344727
4,19,14353,5306,0.03171020373702049,0.5192694067955017
5,19,14353,5306,0.030475080013275146,0.5890777111053467
6,19,14353,5306,0.03156156465411186,0.630603015422821
7,19,14353,5306,0.03942279890179634,0.6808061003684998
8,19,14353,5306,0.04684653878211975,0.6771677136421204
9,19,14353,5306,0.06020645424723625,0.6739386916160583
10,19,14353,5306,0.08115149289369583,0.5806682109832764
11,19,14353,5306,0.4380061626434326,0.5616943836212158
0,20,14353,5260,0.017469607293605804,0.7684686183929443
1,20,14353,5260,0.02297435700893402,0.3401743471622467
2,20,14353,5260,0.03683105856180191,0.4423796236515045
3,20,14353,5260,0.06333450227975845,0.5301812291145325
4,20,14353,5260,0.032097797840833664,0.517379105091095
5,20,14353,5260,0.03067796863615513,0.5857357978820801
6,20,14353,5260,0.031974855810403824,0.6251950263977051
7,20,14353,5260,0.03969776630401611,0.6759592890739441
8,20,14353,5260,0.04716618359088898,0.6715170741081238
9,20,14353,5260,0.0603419691324234,0.6741840243339539
10,20,14353,5260,0.08106764405965805,0.5819440484046936
11,20,14353,5260,0.42510804533958435,0.5657622218132019
0,21,14353,5256,0.01753311976790428,0.7696358561515808
1,21,14353,5256,0.022404944524168968,0.3413473665714264
2,21,14353,5256,0.03625739738345146,0.43367239832878113
3,21,14353,5256,0.06317425519227982,0.5156733989715576
